Level,latBlock,lngBlock,month,day,hour,quarter,count
0,1,19,4,25,12,1,23
0,1,19,4,25,12,2,3
0,1,19,4,25,12,3,5
0,1,19,4,25,13,0,1
0,1,19,4,25,13,1,3
0,1,19,4,25,13,2,10
0,1,19,4,25,13,3,7
0,1,19,4,26,11,0,2
0,1,19,4,26,11,1,5
0,1,19,4,26,11,2,7
0,1,19,4,26,11,3,19
0,1,19,4,26,12,0,6
0,1,19,4,26,12,1,10
0,1,19,4,26,12,2,6
0,1,19,4,26,12,3,3
0,1,19,4,26,13,0,1
0,1,19,4,26,13,1,4
0,1,19,4,26,13,2,3
0,1,19,4,26,13,3,3
0,1,19,4,27,11,0,37
0,1,19,4,27,11,1,3
0,1,19,4,27,11,2,15
0,1,19,4,27,11,3,6
0,1,19,4,27,12,0,4
0,1,19,4,27,12,1,3
0,1,19,4,27,12,2,9
0,1,19,4,27,12,3,19
0,1,19,4,27,13,0,5
0,1,19,4,27,13,1,6
0,1,19,4,27,13,2,27
0,1,19,4,27,13,3,10
0,2,16,4,26,13,2,3
0,2,17,4,25,11,0,3
0,2,17,4,25,11,1,1
0,2,17,4,25,11,3,8
0,2,17,4,25,12,1,2
0,2,17,4,25,12,3,11
0,2,17,4,25,13,2,3
0,2,17,4,25,13,3,3
0,2,17,4,26,11,1,1
0,2,17,4,26,11,2,1
0,2,17,4,26,11,3,7
0,2,17,4,26,12,0,3
0,2,17,4,26,12,1,1
0,2,17,4,26,13,2,28
0,2,17,4,26,13,3,1
0,2,17,4,27,11,0,7
0,2,17,4,27,11,1,30
0,2,17,4,27,11,2,20
0,2,17,4,27,11,3,2
0,2,17,4,27,12,0,16
0,2,17,4,27,12,1,19
0,2,17,4,27,12,2,13
0,2,17,4,27,12,3,6
0,2,17,4,27,13,0,27
0,2,17,4,27,13,1,19
0,2,17,4,27,13,2,5
0,2,17,4,27,13,3,15
0,2,18,4,25,11,0,18
0,2,18,4,25,11,1,21
0,2,18,4,25,12,0,4
0,2,18,4,25,12,1,49
0,2,18,4,25,12,2,3
0,2,18,4,25,12,3,22
